Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mnf.,Price
1,b'',b'C_Small',b'C1 C6 C10 C11 C12 C13 C14',b'0.1u',b'C_0805_HandSoldering',b'7',b'',b'08053C104KAT2A',b'0.094'
2,b'',b'CP',b'C15',b'100u',b'CP_Radial_D10.0mm_P5.00mm',b'1',b'',b'RGA101M1JBK-1012G',b'0.248'
3,b'',b'CP',b'C3 C4 C5',b'100u',b'c_elec_6.3x5.3',b'3',b'',b'EXV107M016A9GAA',b'0.443'
4,b'',b'C_Small',b'C8',b'10p',b'C_0805_HandSoldering',b'1',b'',b'C0805C100K5GACTU',b'0.091'
5,b'',b'C_Small',b'C2',b'2.2u',b'C_1210_HandSoldering',b'1',b'',b'C3225X7R2A225K230AB',b'0.697'
6,b'',b'C_Small',b'C9',b'47u',b'C_1210_HandSoldering',b'1',b'',b'GRM32ER61C476ME15L',b'0.851'
7,b'',b'C_Small',b'C7',b'7.5n',b'C_0805_HandSoldering',b'1',b'',b'GRM2195C1H752JA01D',b'0.244'
8,b'',b'D_Schottky',b'D1 D2',b'D_Schottky',b'DO-214AB_Handsoldering',b'2',b'',b'CDBC560-G',b'0.67'
9,b'',b'D_TVS',b'D4',b'D_TVS',b'DO-214AB_Handsoldering',b'1',b'',b'SMCJ48A',b'0.442'
10,b'',b'D_TVS_x2_AAC',b'D3',b'D_TVS_x2_AAC',b'SOT-23_Handsoldering',b'1',b'',b'CDSOT23-SM712',b'1.53'
11,b'',b'FUSE',b'F1',b'FUSE',b'Fuse_SMD1206_HandSoldering',b'1',b'',b'Littelfuse 1206SFS200F/63-2',b'0.6'
12,b'',b'FILTER',b'FB2',b'FILTER',b'R_0805_HandSoldering',b'1',b'',b'BLM21AG221SN1D',b'0.141'
13,b'',b'FILTER',b'FB1',b'FILTER - POWER',b'R_0805_HandSoldering',b'1',b'',b'BLM21PG221SN1D',b'0.104'
14,b'',b'Jumper_NO_Small',b'JP1 JP2 JP3 JP4 JP5 JP6 JP7 JP8',b'Jumper_NO_Small',b'R_0805_HandSoldering',b'8',b'',b'CRCW08050000Z0EA',b'0.094'
15,b'',b'INDUCTOR_SMALL',b'L1',b'27u',b'Inductor_Bourns-SRR1210_HandSoldering',b'1',b'',b'SRR1210-270M',b'1'
16,b'',b'CONN_02X04',b'P1',b'DEV-PINS',b'Pin_Header_Straight_2x04',b'1',b'',b'',b''
17,b'',b'CONN_02X03',b'P2',b'End-Stops',b'Pin_Header_Straight_2x03',b'1',b'',b'',b''
18,b'',b'CONN_02X04',b'P4',b'I2C',b'Pin_Header_Straight_2x04',b'1',b'',b'',b''
19,b'',b'Conn_02x05_Odd_Even',b'P3',b'INPUT',b'Pin_Header_Straight_2x05_Pitch2.54mm',b'1',b'',b'Amphenol-861400402YO2LF',b'1.18'
20,b'',b'CONN_02X03',b'P6',b'ISP',b'Pin_Header_Straight_2x03_Pitch2.54mm',b'1',b'',b'',b''
21,b'',b'CONN_01X04',b'P7 P8',b'Motor',b'MKDS_1.5-4',b'2',b'',b'Amphenol-VI0421550000G',b'0.84'
22,b'',b'R',b'R8 R9',b'10',b'R_0805_HandSoldering',b'2',b'',b'CRCW080510R0JNEA',b'0.091'
23,b'',b'R',b'R13',b'10.5k',b'R_0805_HandSoldering',b'1',b'',b'CRCW080510K5FKEA',b'0.091'
24,b'',b'R',b'R4 R7',b'100k',b'R_0805_HandSoldering',b'2',b'',b'CRCW0805100KJNEA',b'0.091'
25,b'',b'R',b'R18 R19',b'10k',b'R_0805_HandSoldering',b'2',b'',b'CRCW080510K0JNEA',b'0.091'
26,b'',b'R',b'R1',b'120',b'R_0805_HandSoldering',b'1',b'',b'CRCW0805120RJNEA',b'0.091'
27,b'',b'R',b'R12',b'147k',b'R_0805_HandSoldering',b'1',b'',b'CRCW0805147KFKEA',b'0.091'
28,b'',b'R',b'R14 R15',b'200',b'R_0805_HandSoldering',b'2',b'',b'CRCW0805200RJNEA',b'0.091'
29,b'',b'R',b'R10',b'221k',b'R_0805_HandSoldering',b'1',b'',b'CRCW0805221KFKEA',b'0.091'
30,b'',b'R',b'R11',b'26.7k',b'R_0805_HandSoldering',b'1',b'',b'CRCW080526K7FKEA',b'0.091'
31,b'',b'R',b'R2 R3 R5 R6 R16 R17',b'4.7k',b'R_0805_HandSoldering',b'6',b'',b'CRCW08054K70JNEA',b'0.091'
32,b'Arduino Pro Mini - ATmega328p',b'Arduino_Pro_Mini',b'U1',b'Arduino_Pro_Mini',b'Arduino_Pro_Mini',b'1',b'',b'3M-929974-01-30-RK',b'1.98'
33,b'I2C Multiplexer',b'PCA9540B',b'U7',b'PCA9540B',b'TSSOP-8_3x3mm_Pitch0.65mm_HandSoldering',b'1',b'',b'PCA9540BDP 118',b'1.23'
